Protein,Entry,Gene names  (primary ),UniqID,Intensity,Relative_concentration_ECOR2_Glu,Relative_concentration_ECOR51_Glu,Relative_concentration_NCM_Glu,Relative_concentration_ECOR63_Glu,Relative_concentration_AC_Glu,Relative_concentration_ECOR2_Ace,Relative_concentration_ECOR51_Ace,Relative_concentration_NCM_Ace,Relative_concentration_ECOR63_Ace,Relative_concentration_AC_Ace,Relative_concentration_ECOR2_Glu_log2,Relative_concentration_ECOR51_Glu_log2,Relative_concentration_NCM_Glu_log2,Relative_concentration_ECOR63_Glu_log2,Relative_concentration_AC_Glu_log2,Relative_concentration_ECOR2_Ace_log2,Relative_concentration_ECOR51_Ace_log2,Relative_concentration_NCM_Ace_log2,Relative_concentration_ECOR63_Ace_log2,Relative_concentration_AC_Ace_log2,Intensity_1,Intensity_2,Intensity_3,Intensity_4,Intensity_5,Intensity_6,Intensity_7,Intensity_8,Intensity_9,Intensity_10,massfraction_1,massfraction_2,massfraction_3,massfraction_4,massfraction_5,massfraction_6,massfraction_7,massfraction_8,massfraction_9,massfraction_10
CAPP_ECOLI,P00864,ppc,235,17030794310,1.537194541,0.59381637,1.787370766,0.78058389,1.708958571,1.076747186,0.559029843,0.951937949,0.752937803,1.037070202,0.620299758,-0.751911229,0.837838933,-0.357374406,0.773117423,0.106679553,-0.839002793,-0.071060559,-0.4093974,0.052513557,26179644048,10113164462,30440343865,13293963678,29104921901,18337859843,9520722270,16212259407,12823128849,17662129292,0.004806822,0.001668891,0.005455188,0.002373931,0.005116422,0.003255863,0.001574486,0.002892919,0.002200711,0.003033599
HNS_ECOLI,P0ACF8,hns,114,38536820433,0.668228533,1.444384869,0.68696697,1.165577829,0.746039569,0.724019814,1.38306927,0.698710933,1.286595919,0.837371408,-0.581586508,0.530455212,-0.54168736,0.221045341,-0.422675943,-0.465898915,0.467873414,-0.51723238,0.363559018,-0.256060437,25751402991,55662000318,26473522781,44917663510,28749992918,27901421573,53299092097,26926097767,49581315910,32269631578,0.004728193,0.009185436,0.004744297,0.008021042,0.005054028,0.00495386,0.008814319,0.004804699,0.008509168,0.005542544
ENO_ECOLI,P0A6P9,eno,197,26376473582,0.97231055,0.936326302,1.209835718,0.705402701,1.270821258,0.963029256,1.078015457,0.87961172,0.732422965,1.636979227,-0.040510919,-0.094916709,0.274811159,-0.503480995,0.345761129,-0.054348468,0.108377865,-0.185061268,-0.449251068,0.711036015,25646123540,24696985981,31911199843,18606035709,33519783351,25401315734,28434246235,23201055288,19318734979,43177739348,0.004708862,0.004075538,0.005718779,0.003322519,0.005892521,0.00450997,0.004702304,0.004140001,0.00331549,0.007416091
AAT_ECOLI,P00509,aspC,175,26588896183,0.945387588,0.9476291,1.024838668,0.945284805,0.815065307,1.224289787,0.937782848,1.14623675,1.061237568,0.842526286,-0.081022171,-0.077605593,0.035396816,-0.08117903,-0.295012435,0.291945081,-0.092674202,0.196905057,0.085747653,-0.247206397,25136812433,25196411763,27249328945,25134079551,21671686832,32552514039,24934610792,30477169945,28217135513,22401843955,0.004615348,0.004157954,0.004883329,0.004488246,0.003809716,0.005779655,0.004123553,0.005438353,0.004842637,0.00384768
RS2_ECOLI,P0A7V0,rpsB,124,18480173200,1.29047152,0.758428352,1.389825087,1.0274345,1.176934228,0.855108299,0.786119466,0.930835374,1.061466948,0.868291088,0.367898302,-0.398915199,0.474903327,0.039046424,0.235033699,-0.225820946,-0.34717952,-0.103402057,0.086059449,-0.203749318,23848137202,14015887298,25684208322,18987167511,21749948382,15802549479,14527623887,17201998929,19616093048,16046169698,0.004378736,0.002312925,0.004602845,0.003390579,0.003823474,0.002805722,0.002402501,0.003069529,0.003366523,0.002756046
RL13_ECOLI,P0AA10,rplM,71,16044665663,1.482490373,0.763895688,1.545720131,1.016029473,1.181270536,0.865813149,0.808424341,0.908768571,0.987404991,0.951430226,0.568022736,-0.388552447,0.628279128,0.022942252,0.24033941,-0.207872384,-0.306815334,-0.138015154,-0.018286157,-0.071830236,23786062381,12256450912,24800562708,16301853194,18953090808,13891682500,12970898269,14580887882,15842582960,15265379874,0.004367338,0.00202258,0.004444487,0.002911056,0.003331808,0.00246645,0.002145058,0.002601817,0.002718911,0.00262194
GLN1B_ECOLI,P0A9C5,glnA,160,13117869203,1.806711225,0.846430413,1.839658187,0.714834454,1.447104357,1.087607695,0.813832444,0.995178933,0.751581363,0.621842445,0.853365932,-0.240536628,0.879437735,-0.484318924,0.533168965,0.121158263,-0.297196299,-0.00697215,-0.411998802,-0.685379001,23700201532,11103363454,24132395474,9377104864,18982925678,14267095484,10675747553,13054627071,9859146016,8157247857,0.004351573,0.001832295,0.004324746,0.001674489,0.003337053,0.002533104,0.001765498,0.002329471,0.001692031,0.001401067
RL18_ECOLI,P0C018,rplR,54,14458006500,1.618880865,0.799114472,1.576953405,0.97030959,1.129536085,0.865544983,0.844604132,0.975938063,1.020409866,1.022863575,0.69499682,-0.323525913,0.657140033,-0.043482964,0.175730361,-0.208319296,-0.24365279,-0.035138503,0.029148753,0.032613738,23405790069,11553602231,22799602583,14028742353,16330840065,12514054988,12211292032,14110118862,14753092472,14788568221,0.004297517,0.001906595,0.004085897,0.002505142,0.002870836,0.002221854,0.002019438,0.002517813,0.002531932,0.002540044
RS9_ECOLI,P0A7X3,rpsI,72,18565435450,1.254782788,0.797902441,1.321895381,1.000197583,1.17645195,0.89901817,0.854895734,0.915169501,1.038073805,1.050513401,0.327437645,-0.325715736,0.402608002,0.000285024,0.234442397,-0.153577821,-0.22617962,-0.127889121,0.05390902,0.071094566,23295588856,14813406255,24541563372,18569103669,21841342730,16690663803,15871511565,16990520298,19272292224,19503238741,0.004277283,0.002444533,0.004398072,0.003315924,0.003839541,0.002963405,0.002624746,0.003031792,0.003307519,0.003349823
RS7_ECOLI,P02359,rpsG,96,15789357503,1.470638921,0.808931023,1.544551713,1.07538706,1.144376345,0.827030258,0.758783339,0.887516031,1.017878117,0.818194267,0.556443072,-0.305911404,0.627188174,0.104856017,0.194561581,-0.273987981,-0.398240094,-0.172154916,0.02556482,-0.289484667,23220443682,12772501120,24387479172,16979670750,18068967226,13058276412,11980701405,14013307904,16071641484,12918761782,0.004263485,0.002107739,0.004370459,0.003032096,0.003176386,0.00231848,0.001981304,0.002500538,0.002758222,0.002218891
RS3_ECOLI,P0A7V3,rpsC,111,16520403467,1.39237385,0.724557823,1.082730629,1.04871044,1.188038577,0.935961499,0.719958576,0.998047943,1.002434308,0.847795306,0.477546624,-0.464827268,0.114674362,0.06861639,0.248581683,-0.09547891,-0.474014193,-0.002818975,0.003507697,-0.238212117,23002577777,11969987564,17887146841,17325119597,19626876621,15462461592,11894006158,16488154699,16560619224,14005920507,0.004223483,0.001975307,0.00320554,0.003093783,0.003450254,0.002745339,0.001966967,0.00294215,0.002842141,0.002405619
CYSK_ECOLI,P0ABK5,cysK,183,34423100432,0.659724552,0.939120133,0.779213466,0.991880262,1.005279425,0.95287556,1.007866386,0.854681589,0.987215496,1.693484778,-0.600064298,-0.090618374,-0.359909484,-0.011762123,0.007596565,-0.069640277,0.011304392,-0.22654105,-0.018563055,0.759995019,22709764514,32327426668,26822943414,34143593883,34604834596,32800931088,34693885823,29420790169,33983018154,58294996602,0.00416972,0.005334726,0.004806917,0.006097094,0.006083265,0.005823762,0.005737489,0.005249852,0.005832181,0.01001259
RL5_ECOLI,P62399,rplE,125,16151526433,1.402606546,0.727593238,1.436000117,1.108732167,1.157691678,0.816562409,0.772161791,0.927273928,1.036998308,0.903598602,0.488110366,-0.45879596,0.522055867,0.148910901,0.211251079,-0.29236494,-0.373024928,-0.108932503,0.05241354,-0.146246057,22654236706,11751741411,23193593854,17907716908,18698487743,13188729341,12471591576,14976889360,16749105583,14594496699,0.004159525,0.001939292,0.004156504,0.003197819,0.003287051,0.002341641,0.002062485,0.002672479,0.002874489,0.002506711
RL19_ECOLI,P0A7K6,rplS,76,17442246310,1.286978757,0.683107276,1.298523958,1.030819,1.163998259,0.968106691,0.715141948,0.923534007,1.052398755,0.98218334,0.363988241,-0.549815935,0.376872632,0.043791035,0.219088901,-0.046762046,-0.483698465,-0.114763009,0.073681447,-0.025935744,22447800481,11914925371,22649174717,17979798907,20302744344,16885955350,12473682001,16108507623,18356198298,17131483735,0.004121621,0.001966221,0.004058939,0.003210691,0.003569067,0.002998079,0.002062831,0.002874406,0.003150299,0.002942457
RL3_ECOLI,P60438,rplC,106,17244831683,1.300482051,0.761722543,1.307785861,1.036826949,1.216113547,0.912912159,0.778974979,0.972956666,1.040622047,0.934346145,0.379046488,-0.392662503,0.387126331,0.052175123,0.282277937,-0.131452045,-0.360351106,-0.039552544,0.057446178,-0.097970974,22426594077,13135777037,22552547059,17879906226,20971673422,15743016527,13433292393,16778473936,17945352044,16112642009,0.004117727,0.002167688,0.004041623,0.003192853,0.003686659,0.002795152,0.002221526,0.002993955,0.003079789,0.002767463
RL15_ECOLI,P02413,rplO,73,17621748100,1.268390656,0.880600837,1.010069878,1.084441469,1.297832036,0.849270971,0.828650152,0.896194818,0.990639113,1.081764149,0.342999155,-0.183439879,0.014455104,0.116952188,0.376103683,-0.235703158,-0.271164956,-0.15811571,-0.013568511,0.113385991,22351260633,15517726129,17799196957,19109754390,22870069213,14965639112,14602264245,15792519338,17456792914,19062575342,0.004103895,0.002560761,0.003189779,0.003412469,0.004020383,0.002657129,0.002414844,0.002818021,0.002995943,0.003274136
AHPC_ECOLI,P0AE08,ahpC,124,28558246500,0.773825954,0.925736804,0.808008838,1.195909014,0.864021721,1.014483471,0.698425018,1.008730211,1.345960945,0.919639914,-0.369918978,-0.111326015,-0.307557022,0.258107631,-0.210860513,0.020745359,-0.517822857,0.012540371,0.428636548,-0.120859011,22099112334,26437419842,23075315559,34153064399,24674945298,28971869029,19945793819,28807566013,38438284435,26263303368,0.004057599,0.004362747,0.004135307,0.006098785,0.004337666,0.005143917,0.003298529,0.005140428,0.006596796,0.004510913
LIVJ_ECOLI,P0AD96,livJ,143,21035620443,1.048861275,1.477946319,1.076230121,0.432755023,0.790737988,0.938373806,1.496437825,1.485590869,0.61870794,0.97330069,0.068823877,0.56359387,0.10598659,-1.208377531,-0.33872836,-0.091765353,0.581532338,0.571036853,-0.692669546,-0.039042517,22063447688,31089517803,22639168343,9103270401,16633664185,19739275217,31478498095,31250325654,13014905391,20473983896,0.00405105,0.005130444,0.004057146,0.00162559,0.002924071,0.003504682,0.005205746,0.005576315,0.002233624,0.003516556
RL11_ECOLI,P0A7J7,rplK,77,16450936900,1.337688598,0.852438257,1.367955631,0.908758915,1.222179174,0.865813601,0.895617381,0.919251893,0.979202173,1.038584967,0.419742309,-0.230332753,0.452021438,-0.138030483,0.289455802,-0.207871631,-0.159045569,-0.121467853,-0.030321336,0.054619248,22006230722,14023407976,22504151773,14949935566,20105992467,14243444918,14733745020,15122554883,16108793156,17085695756,0.004040545,0.002314166,0.00403295,0.002669642,0.003534479,0.002528905,0.002436588,0.002698472,0.002764598,0.002934592
MDH_ECOLI,P61889,mdh,178,37641421033,0.576180271,1.304830063,0.723748117,1.180622496,0.606312556,0.868277348,1.082420966,1.101963565,1.308437183,0.624807328,-0.795407833,0.383861927,-0.466440406,0.239547736,-0.721866395,-0.203772147,0.114261689,0.140076524,0.387844664,-0.678516721,21688244167,49115657789,27242907588,44440308437,22822466215,32683193248,40743863329,41479474515,49251434909,23518635693,0.00398216,0.008105147,0.004882178,0.0079358,0.004012015,0.005802857,0.006738002,0.007401607,0.008452553,0.004039497
