gene_name,go_terms,cog_class,cog_letter,b_number,mass_fraction,dataset_name,strain,growth_rate_hr,carbon_source
argI,GO:0019240; GO:0042450; GO:0016743; GO:0016740; GO:0003824; GO:0046872; GO:0016597; GO:0008152; GO:0006591; GO:0006520; GO:0005829; GO:0008652; GO:0004585; GO:0006526; GO:0005737,metabolism,E,b4254,0.000151,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
aroK,GO:0046677; GO:0019632; GO:0005829; GO:0000287; GO:0016310; GO:0046872; GO:0016740; GO:0016301; GO:0009073; GO:0008652; GO:0005737; GO:0005524; GO:0000166; GO:0004765; GO:0009423,metabolism,E,b3390,0.00039,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
aroL,GO:0019632; GO:0000287; GO:0005829; GO:0016310; GO:0046872; GO:0016740; GO:0016301; GO:0009073; GO:0008652; GO:0005524; GO:0000166; GO:0004765; GO:0009423; GO:0005737,metabolism,E,b0388,0.000272,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
asd,GO:0071266; GO:0005829; GO:0016620; GO:0016491; GO:0009085; GO:0008652; GO:0006520; GO:0051287; GO:0050661; GO:0046983; GO:0009097; GO:0009088; GO:0009086; GO:0006974; GO:0055114; GO:0019877; GO:0004073; GO:0009089; GO:0009090,metabolism,E,b3433,0.00048,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
asr,GO:0030288; GO:0001101; GO:0010043; GO:0042597,Not Assigned,Not Assigned,b1597,2.28e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
atl,GO:0005515; GO:0006974; GO:0003677; GO:0005829; GO:0003824; GO:0006281; GO:0019899; GO:0003684,information storage and processing,K,b0454,3.73e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
atoC,GO:0010967; GO:0008073; GO:0043086; GO:0006355; GO:0043565; GO:0008134; GO:0003677; GO:0005829; GO:0045893; GO:0005737; GO:0005524; GO:0003700; GO:0000166; GO:0000160,cellular processes and signaling,T,b2220,3.02e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
atoE,GO:0005886; GO:0016021; GO:0016020,metabolism,I,b2223,7.74e-07,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
azoR,GO:0022900; GO:0016652; GO:0009055; GO:0042803; GO:0005829; GO:0016661; GO:0016491; GO:0006979; GO:0016655; GO:0055114; GO:0050446; GO:0010181,metabolism,C,b1412,8.26e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
baeR,GO:0005829; GO:0006351; GO:0032993; GO:0003700; GO:0001216; GO:0000976; GO:0000156; GO:0042802; GO:0006355; GO:0003677; GO:2001023; GO:2000144; GO:0000986; GO:0005737; GO:0000160,information storage and processing,K,b2079,3.95e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
baeS,GO:0036460; GO:0005887; GO:0000160; GO:0023014; GO:0018106; GO:0016310; GO:0007165; GO:0016772; GO:0046777; GO:0000166; GO:0005886; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0005524; GO:0004673; GO:0000155,cellular processes and signaling,T,b2078,1.39e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
barA,GO:0005886; GO:0000160; GO:0009927; GO:0006468; GO:0042803; GO:0004721; GO:1901425; GO:0010034; GO:0018217; GO:0005515; GO:0023014; GO:0018106; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0007165; GO:0004673; GO:0005887; GO:0046777; GO:0042542; GO:0000166; GO:0016021; GO:0016020; GO:0005524; GO:0000155,cellular processes and signaling,T,b2786,2.64e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
basS,GO:0010043; GO:0004721; GO:0005887; GO:0046777; GO:0000160; GO:0023014; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0007165; GO:0000166; GO:0010041; GO:0005886; GO:0018106; GO:0016021; GO:0016020; GO:0005524; GO:0004673; GO:0000155,cellular processes and signaling,T,b4112,2.16e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
bax,GO:0004040; GO:0005524; GO:0000166,poorly characterized,R,b3570,0.000378,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
bcp,GO:0034599; GO:0005737; GO:0005623; GO:0045454; GO:0098869; GO:0051920; GO:0016491; GO:0016209; GO:0004601; GO:0005829; GO:0055114; GO:0032843; GO:0008379; GO:0006979,cellular processes and signaling,O,b2480,0.000294,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
bcr,GO:0042910; GO:0042908; GO:0006855; GO:0015299; GO:1990961; GO:0005887; GO:0033228; GO:0033229; GO:0015833; GO:0015031; GO:0035442; GO:0071916; GO:0055085; GO:0005886; GO:0046677; GO:0016021; GO:0016020,metabolism,G,b2182,3.46e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
bdm,GO:1902210,Not Assigned,Not Assigned,b1481,8.59e-06,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
bfd,GO:0055114; GO:0051536; GO:0005829; GO:0005515; GO:0051537; GO:0046872,metabolism,P,b3337,0.000187,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
bfr,GO:0005623; GO:0005515; GO:0042803; GO:0020037; GO:0042802; GO:0046872; GO:0006879; GO:0008199; GO:0006826; GO:0055114; GO:0016491; GO:0005506; GO:0006880; GO:0004322; GO:0005829,metabolism,P,b3336,8.88e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
bglB,GO:0016052; GO:0103047; GO:0008422; GO:0005829; GO:0005975; GO:0004553; GO:0016798; GO:0016787; GO:0008152; GO:0008706,metabolism,G,b3721,1.8e-06,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
bioC,GO:0102130; GO:0005829; GO:0016740; GO:0008168; GO:0032259; GO:0010340; GO:0009102,Not Assigned,Not Assigned,b0777,0.00015,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
bioH,GO:0005515; GO:0016787; GO:0090499; GO:0005737; GO:0052689; GO:0009102,poorly characterized,R,b3412,1.65e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
blc,GO:0006629; GO:0005737; GO:0000302; GO:0036406; GO:0006974; GO:0008289; GO:0016020; GO:0009279,cellular processes and signaling,M,b4149,2.13e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
blr,GO:0000935; GO:0036460; GO:0016020; GO:0051301; GO:0007049; GO:0005515; GO:0033554; GO:0005886; GO:0046677; GO:0016021,Not Assigned,Not Assigned,b4409,2.75e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
brnQ,GO:0098655; GO:1903785; GO:1902475; GO:0005515; GO:0016020; GO:0015803; GO:0015658; GO:0006865; GO:0015190; GO:0015188; GO:0005304; GO:0015829; GO:0015820; GO:0015818; GO:0005886; GO:0016021,metabolism,E,b0401,2.91e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
can,GO:0005515; GO:0016829; GO:0015976; GO:0005829; GO:0046872; GO:0008270; GO:0004089,metabolism,P,b0126,0.000791,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
carA,GO:0006807; GO:0008652; GO:0044205; GO:0005951; GO:0006207; GO:0005737; GO:0000166; GO:0005829; GO:0016874; GO:0006541; GO:0005524; GO:0005515; GO:0004088; GO:0006526; GO:0006221,metabolism,E,b0032,0.00025,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cas1,GO:0042802; GO:0004520; GO:0003676; GO:0042803; GO:0090305; GO:0003677; GO:0016787; GO:0004519; GO:0004518; GO:0051607; GO:0046872; GO:0006281; GO:0005737; GO:0043571; GO:0006974; GO:0017108; GO:0005515; GO:0008821,cellular processes and signaling,V,b2755,8.02e-06,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cas2,GO:0003677; GO:0005515; GO:0090305; GO:0005829; GO:0051607; GO:0016787; GO:0004519; GO:0004518; GO:0043571,Not Assigned,Not Assigned,b2754,8.84e-06,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cas3,GO:0000738; GO:0000014; GO:0008296; GO:0000737; GO:0005829; GO:0046872; GO:0016787; GO:0004386; GO:0003677; GO:0003676; GO:0004527; GO:0004519; GO:0004518; GO:0097098; GO:0033677; GO:0003690; GO:0000287; GO:0051607; GO:0005524; GO:0000166,cellular processes and signaling,V,b2761,3.87e-06,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cbl,GO:0003700; GO:0006355; GO:0005829; GO:0045883; GO:0003677,information storage and processing,K,b1987,4.5e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cbpA,GO:0051085; GO:0042026; GO:0005515; GO:0003677; GO:0051082; GO:0006457; GO:0005829; GO:0009295; GO:0003681; GO:0005737,Not Assigned,Not Assigned,b1000,1.3e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cca,GO:0016791; GO:0016311; GO:0000287; GO:0000049; GO:0004112; GO:0005515; GO:0016779; GO:0016740; GO:0008152; GO:0008033; GO:0006396; GO:0003824; GO:0052929; GO:0052928; GO:0052927; GO:0005829; GO:0046872; GO:0042245; GO:0016787; GO:0005524; GO:0003723; GO:0001680; GO:0000166; GO:0016437; GO:0004810; GO:0005737,information storage and processing,J,b3056,0.000158,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cdd,GO:0042802; GO:0016787; GO:0003824; GO:0046872; GO:0042803; GO:0047844; GO:0006217; GO:0009972; GO:0001884; GO:0005829; GO:0008270; GO:0004126; GO:0015949,metabolism,F,b2143,2.66e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cdh,GO:0005887; GO:0006629; GO:0046342; GO:0005886; GO:0016787; GO:0016021; GO:0016020; GO:0008654; GO:0008715,metabolism,I,b3918,1.38e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cfa,GO:0031234; GO:0071890; GO:0042803; GO:0016740; GO:0008168; GO:0006629; GO:0006633; GO:0005829; GO:0032259; GO:0030258; GO:0008610; GO:0005737; GO:0008825,metabolism,I,b1661,6.55e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
chbA,GO:0032991; GO:0034219; GO:1902815; GO:0090566; GO:0005515; GO:0005829; GO:0016740; GO:0008643; GO:0005737; GO:0009401,metabolism,G,b1736,1.52e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
chbB,GO:0034219; GO:1902815; GO:0090566; GO:0005829; GO:0005515; GO:0016310; GO:0016301; GO:0016740; GO:0008982; GO:0008643; GO:0005737; GO:0009401,metabolism,G,b1738,8.49e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cheA,GO:0005623; GO:1902021; GO:1901875; GO:0050920; GO:0031400; GO:0016310; GO:0000160; GO:0009454; GO:0043052; GO:0098561; GO:0023014; GO:0018106; GO:0005886; GO:0007165; GO:0005515; GO:0016772; GO:0000155; GO:0005829; GO:0046777; GO:0000166; GO:0016740; GO:0016301; GO:0006935; GO:0005737; GO:0005524; GO:0004673; GO:0051649,cellular processes and signaling,T,b1888,0.00109,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cheB,GO:0007165; GO:1990827; GO:0018277; GO:0023014; GO:0050568; GO:0005515; GO:0006482; GO:0005886; GO:0000160; GO:0000156; GO:0005829; GO:0016787; GO:0006935; GO:0005737; GO:0008984,cellular processes and signaling,T,b1883,0.000377,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cheR,GO:0008276; GO:0098561; GO:0008022; GO:0006479; GO:0005886; GO:0005829; GO:0008757; GO:0032259; GO:0016740; GO:0008168; GO:0006935; GO:0008983,cellular processes and signaling,T,b1884,0.000644,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cheW,GO:0005623; GO:1901875; GO:0019904; GO:0005886; GO:0010864; GO:0042803; GO:0009454; GO:0023014; GO:0098561; GO:0051649; GO:0005829; GO:0005515; GO:0007165; GO:0006935; GO:0005737,cellular processes and signaling,T,b1887,0.00215,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cheY,GO:0005515; GO:0005829; GO:0016407; GO:0006473; GO:1902021; GO:0000156; GO:0009454; GO:0043052; GO:0000160; GO:0023014; GO:0097588; GO:0018393; GO:0046872; GO:0006935; GO:0005737; GO:0000287,Not Assigned,Not Assigned,b1882,0.00165,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cho,GO:0009380; GO:0033683; GO:0004520; GO:0005829; GO:0016787; GO:0006974; GO:0005515; GO:0004518; GO:0006281; GO:0009432,Not Assigned,Not Assigned,b1741,2.63e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cmk,GO:0046940; GO:0006220; GO:0033317; GO:0004592; GO:0010165; GO:0006139; GO:0005829; GO:0015949; GO:0004127; GO:0016310; GO:0016740; GO:0016301; GO:0005524; GO:0000166; GO:0005737,metabolism,F,b0910,0.000183,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cmtA,GO:0034219; GO:0022872; GO:0015797; GO:0005887; GO:0016310; GO:0016301; GO:0005886; GO:0016740; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401,metabolism,G,b2933,1.79e-06,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cnu,GO:0005829; GO:1900232; GO:0060566; GO:0005515; GO:0003677,Not Assigned,Not Assigned,b1625,2.17e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
coaA,GO:0050165; GO:0042803; GO:0005829; GO:0016740; GO:0016301; GO:0000166; GO:0016310; GO:0005737; GO:0005524; GO:0004594; GO:0015937,metabolism,H,b3974,0.000118,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
codB,GO:1902600; GO:0022857; GO:0055085; GO:0015856; GO:0015209; GO:0015295; GO:0005887; GO:0005886; GO:0019858; GO:0016021; GO:0016020,metabolism,F,b0336,1.18e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cof,GO:0016311; GO:0005829; GO:0016818; GO:0016787; GO:0046872; GO:0017001; GO:0000287; GO:0017110; GO:0016791; GO:0009228,poorly characterized,R,b0446,2.36e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
corA,GO:1903830; GO:0055085; GO:0046873; GO:0030001; GO:0006811; GO:0035444; GO:0015099; GO:0005887; GO:0005886; GO:0016021; GO:0016020; GO:0015693; GO:0015095; GO:0015087; GO:0006824,metabolism,P,b3816,6.86e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cra,GO:0000986; GO:0042802; GO:2000142; GO:0009750; GO:0005829; GO:0006355; GO:0003677,information storage and processing,K,b0080,0.000214,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
crl,GO:2000144; GO:0034622; GO:0005515; GO:0005829; GO:0045893,Not Assigned,Not Assigned,b0240,0.000317,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
crp,GO:0042802; GO:0043565; GO:0032993; GO:0005515; GO:0006355; GO:0003700; GO:0045893; GO:0045892; GO:0045013; GO:0005829; GO:0030552; GO:0003677; GO:0000166; GO:0006351,cellular processes and signaling,T,b3357,0.000937,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
crr,GO:0005515; GO:0043610; GO:0045912; GO:0005737; GO:0031234; GO:0016310; GO:0005829; GO:0046872; GO:0016740; GO:0016301; GO:0008643; GO:0009401,metabolism,G,b2417,0.00123,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cspA,GO:0003676; GO:0031564; GO:0003723; GO:0003727; GO:0005829; GO:0001072; GO:0060567; GO:0009409; GO:0003697; GO:0003677; GO:0006351; GO:0005737,information storage and processing,K,b3556,0.0133,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cspB,GO:0003676; GO:0005829; GO:0009409; GO:0003697; GO:0003723; GO:0006950; GO:0005737; GO:0003677,information storage and processing,K,b1557,0.000119,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cutC,GO:0005623; GO:0006878; GO:0055070; GO:0005507; GO:0005829; GO:0005737,metabolism,P,b1874,0.00015,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cybB,GO:0005887; GO:0019430; GO:0009055; GO:0055114; GO:0020037; GO:0022904; GO:0005886; GO:0046872; GO:0016021; GO:0016020,metabolism,C,b1418,8.74e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cynX,GO:0022857; GO:0055085; GO:0005886; GO:0016021; GO:0016020; GO:0009440,metabolism,P,b0341,3.43e-06,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cyoA,GO:0042773; GO:0008827; GO:0005507; GO:0004129; GO:0071575; GO:0009060; GO:0015990; GO:0055114; GO:0022900; GO:0016491; GO:0016021; GO:0016020; GO:0005886; GO:0016682; GO:0009319; GO:0019646; GO:0070469; GO:0005887; GO:0015078; GO:0009486; GO:0009055; GO:0015453,metabolism,C,b0432,0.000675,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cyoB,GO:0004129; GO:0005515; GO:0055114; GO:0046872; GO:0016021; GO:0016020; GO:0009060; GO:0006811; GO:0005886; GO:0016682; GO:0070469; GO:0009319; GO:0015990; GO:0015078; GO:0048039; GO:0019646; GO:0005887; GO:0009486; GO:0020037; GO:0005507; GO:0009055; GO:0015453,metabolism,C,b0431,0.000451,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cyoC,GO:0008827; GO:0004129; GO:0005887; GO:0005515; GO:0009060; GO:0055114; GO:0022904; GO:0016491; GO:0016021; GO:0016020; GO:0015002; GO:0009319; GO:0015990; GO:0015078; GO:0019646; GO:0005886; GO:0009486; GO:0009055; GO:0015453,metabolism,C,b0430,0.000306,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cyoD,GO:0005515; GO:0005887; GO:0009060; GO:0055114; GO:0016491; GO:0016020; GO:0008827; GO:0009319; GO:0015990; GO:0015078; GO:0015453; GO:0019646; GO:0005886; GO:0009486; GO:0016021; GO:0009055,metabolism,C,b0429,0.000335,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cysB,GO:0010165; GO:0005829; GO:0042802; GO:0006355; GO:0003700; GO:0008652; GO:0003677; GO:0019344; GO:0006351; GO:0005737,information storage and processing,K,b1275,0.000185,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
cysD,GO:0000103; GO:0009336; GO:0005829; GO:0006979; GO:0016779; GO:0016740; GO:0003824; GO:0005515; GO:0019419; GO:0070814; GO:0005524; GO:0000166; GO:0004781; GO:0006790,metabolism,E,b2752,0.000377,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
