gene_name,condition,growth_rate_hr,annotation,cog_category,cog_class,cog_letter,dataset,strain,mass_frac,go_terms,cog_desc,dataset_name
leuB,gluconate_growth,0.6630116912775283,Isocitrate/isopropylmalate dehydrogenase,Metabolism,metabolism,C,calgar_2017,REL606,0.00033911087164770995,GO:0030145; GO:0016616; GO:0016491; GO:0009082; GO:0008652; GO:0051287; GO:0000287; GO:0005829; GO:0034198; GO:0055114; GO:0046872; GO:0005737; GO:0009098; GO:0003862,3-isopropylmalate dehydrogenase (EC 1.1.1.85),Caglar et al. 2017
leuB,gluconate_growth,0.6630116912775283,Isocitrate/isopropylmalate dehydrogenase,Metabolism,metabolism,C,calgar_2017,REL606,0.00029286848005938585,GO:0030145; GO:0016616; GO:0016491; GO:0009082; GO:0008652; GO:0051287; GO:0000287; GO:0005829; GO:0034198; GO:0055114; GO:0046872; GO:0005737; GO:0009098; GO:0003862,3-isopropylmalate dehydrogenase (EC 1.1.1.85),Caglar et al. 2017
ilvI,gluconate_growth,0.6630116912775283,"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",Metabolism,metabolism,E,calgar_2017,REL606,0.0003009548818612901,GO:0005829; GO:0016740; GO:0009082; GO:0008652; GO:0003824; GO:0050660; GO:0030976; GO:0000287; GO:0046872; GO:0009097; GO:0003984; GO:0009099,"acetolactate synthase, large subunit (EC 2.2.1.6)",Caglar et al. 2017
ilvI,gluconate_growth,0.6630116912775283,"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",Metabolism,metabolism,E,calgar_2017,REL606,0.0003255226273193546,GO:0005829; GO:0016740; GO:0009082; GO:0008652; GO:0003824; GO:0050660; GO:0030976; GO:0000287; GO:0046872; GO:0009097; GO:0003984; GO:0009099,"acetolactate synthase, large subunit (EC 2.2.1.6)",Caglar et al. 2017
ilvI,gluconate_growth,0.6630116912775283,"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",Metabolism,metabolism,E,calgar_2017,REL606,0.0003316645636838707,GO:0005829; GO:0016740; GO:0009082; GO:0008652; GO:0003824; GO:0050660; GO:0030976; GO:0000287; GO:0046872; GO:0009097; GO:0003984; GO:0009099,"acetolactate synthase, large subunit (EC 2.2.1.6)",Caglar et al. 2017
ilvI,gluconate_growth,0.6630116912775283,"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",Metabolism,metabolism,E,calgar_2017,REL606,0.0003009548818612901,GO:0005829; GO:0016740; GO:0009082; GO:0008652; GO:0003824; GO:0050660; GO:0030976; GO:0000287; GO:0046872; GO:0009097; GO:0003984; GO:0009099,"acetolactate synthase, large subunit (EC 2.2.1.6)",Caglar et al. 2017
mutT,gluconate_growth,0.6630116912775283,NTP pyrophosphohydrolases including oxidative damage repair enzymes,Poorly Characterized,metabolism,F,calgar_2017,REL606,5.822474540399605e-06,GO:0005515; GO:0046872; GO:0016787; GO:0035539; GO:0044716; GO:0044715; GO:0005829; GO:0030145; GO:0008413; GO:0006974; GO:0006281; GO:0006260; GO:0000287,8-oxo-dGTPase (EC 3.6.1.55),Caglar et al. 2017
mutT,gluconate_growth,0.6630116912775283,NTP pyrophosphohydrolases including oxidative damage repair enzymes,Poorly Characterized,metabolism,F,calgar_2017,REL606,2.9112372701998024e-06,GO:0005515; GO:0046872; GO:0016787; GO:0035539; GO:0044716; GO:0044715; GO:0005829; GO:0030145; GO:0008413; GO:0006974; GO:0006281; GO:0006260; GO:0000287,8-oxo-dGTPase (EC 3.6.1.55),Caglar et al. 2017
mutT,gluconate_growth,0.6630116912775283,NTP pyrophosphohydrolases including oxidative damage repair enzymes,Poorly Characterized,metabolism,F,calgar_2017,REL606,1.4556186350999012e-06,GO:0005515; GO:0046872; GO:0016787; GO:0035539; GO:0044716; GO:0044715; GO:0005829; GO:0030145; GO:0008413; GO:0006974; GO:0006281; GO:0006260; GO:0000287,8-oxo-dGTPase (EC 3.6.1.55),Caglar et al. 2017
mutT,gluconate_growth,0.6630116912775283,NTP pyrophosphohydrolases including oxidative damage repair enzymes,Poorly Characterized,metabolism,F,calgar_2017,REL606,4.366855905299704e-06,GO:0005515; GO:0046872; GO:0016787; GO:0035539; GO:0044716; GO:0044715; GO:0005829; GO:0030145; GO:0008413; GO:0006974; GO:0006281; GO:0006260; GO:0000287,8-oxo-dGTPase (EC 3.6.1.55),Caglar et al. 2017
hofC,gluconate_growth,0.6630116912775283,"Type II secretory pathway, component PulF",Cellular Processes and Signaling,cellular processes and signaling,U,calgar_2017,REL606,4.334578169102338e-06,GO:0015628; GO:0005887; GO:0009306; GO:0005886; GO:0016021; GO:0016020,"assembly protein in type IV pilin biogenesis, transmembrane protein",Caglar et al. 2017
hofB,gluconate_growth,0.6630116912775283,"Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB",Cellular Processes and Signaling,cellular processes and signaling,U,calgar_2017,REL606,4.9357631952556776e-06,GO:0005829; GO:0005524; GO:0000166,conserved protein with nucleoside triphosphate hydrolase domain,Caglar et al. 2017
htrE,gluconate_growth,0.6630116912775283,"P pilus assembly protein, porin PapC",Cellular Processes and Signaling,cellular processes and signaling,W,calgar_2017,REL606,9.312663229946103e-06,GO:0005515; GO:0007155; GO:0055085; GO:0009297; GO:0043711; GO:0015473; GO:0016021; GO:0016020; GO:0009279,predicted outer membrane usher protein,Caglar et al. 2017
htrE,gluconate_growth,0.6630116912775283,"P pilus assembly protein, porin PapC",Cellular Processes and Signaling,cellular processes and signaling,W,calgar_2017,REL606,1.8625326459892206e-05,GO:0005515; GO:0007155; GO:0055085; GO:0009297; GO:0043711; GO:0015473; GO:0016021; GO:0016020; GO:0009279,predicted outer membrane usher protein,Caglar et al. 2017
fhuC,gluconate_growth,0.6630116912775283,"ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components",Metabolism,metabolism,P,calgar_2017,REL606,5.633683914181784e-06,GO:0033214; GO:0015711; GO:0015625; GO:0015623; GO:0005623; GO:0015687; GO:0015344; GO:0043190; GO:0055072; GO:0005886; GO:0016887; GO:0016020; GO:0006811; GO:0005524; GO:0000166,iron-hydroxamate transporter subunit,Caglar et al. 2017
fhuC,gluconate_growth,0.6630116912775283,"ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components",Metabolism,metabolism,P,calgar_2017,REL606,5.633683914181784e-06,GO:0033214; GO:0015711; GO:0015625; GO:0015623; GO:0005623; GO:0015687; GO:0015344; GO:0043190; GO:0055072; GO:0005886; GO:0016887; GO:0016020; GO:0006811; GO:0005524; GO:0000166,iron-hydroxamate transporter subunit,Caglar et al. 2017
fhuC,gluconate_growth,0.6630116912775283,"ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components",Metabolism,metabolism,P,calgar_2017,REL606,8.450525871272677e-06,GO:0033214; GO:0015711; GO:0015625; GO:0015623; GO:0005623; GO:0015687; GO:0015344; GO:0043190; GO:0055072; GO:0005886; GO:0016887; GO:0016020; GO:0006811; GO:0005524; GO:0000166,iron-hydroxamate transporter subunit,Caglar et al. 2017
yafS,gluconate_growth,0.6630116912775283,SAM-dependent methyltransferases,Poorly Characterized,Not Assigned,Not Assigned,calgar_2017,REL606,7.97016294526597e-06,GO:0005829; GO:0008168,Not Assigned,Caglar et al. 2017
yafS,gluconate_growth,0.6630116912775283,SAM-dependent methyltransferases,Poorly Characterized,Not Assigned,Not Assigned,calgar_2017,REL606,5.313441963510646e-06,GO:0005829; GO:0008168,Not Assigned,Caglar et al. 2017
yafS,gluconate_growth,0.6630116912775283,SAM-dependent methyltransferases,Poorly Characterized,Not Assigned,Not Assigned,calgar_2017,REL606,1.0626883927021292e-05,GO:0005829; GO:0008168,Not Assigned,Caglar et al. 2017
yafS,gluconate_growth,0.6630116912775283,SAM-dependent methyltransferases,Poorly Characterized,Not Assigned,Not Assigned,calgar_2017,REL606,1.3283604908776618e-05,GO:0005829; GO:0008168,Not Assigned,Caglar et al. 2017
yahJ,gluconate_growth,0.6630116912775283,Cytosine deaminase and related metal-dependent hydrolases,Poorly Characterized,poorly characterized,R,calgar_2017,REL606,2.4646635755900352e-05,GO:0005829; GO:0016810,predicted deaminase with metallo-dependent hydrolase domain,Caglar et al. 2017
yahJ,gluconate_growth,0.6630116912775283,Cytosine deaminase and related metal-dependent hydrolases,Poorly Characterized,poorly characterized,R,calgar_2017,REL606,1.478798145354021e-05,GO:0005829; GO:0016810,predicted deaminase with metallo-dependent hydrolase domain,Caglar et al. 2017
yahJ,gluconate_growth,0.6630116912775283,Cytosine deaminase and related metal-dependent hydrolases,Poorly Characterized,poorly characterized,R,calgar_2017,REL606,1.971730860472028e-05,GO:0005829; GO:0016810,predicted deaminase with metallo-dependent hydrolase domain,Caglar et al. 2017
yahJ,gluconate_growth,0.6630116912775283,Cytosine deaminase and related metal-dependent hydrolases,Poorly Characterized,poorly characterized,R,calgar_2017,REL606,9.85865430236014e-06,GO:0005829; GO:0016810,predicted deaminase with metallo-dependent hydrolase domain,Caglar et al. 2017
prpR,gluconate_growth,0.6630116912775283,Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain,Cellular Processes and Signaling,Not Assigned,Not Assigned,calgar_2017,REL606,5.719205287731902e-06,GO:0009314; GO:0005829; GO:0006355; GO:0043565; GO:0019629; GO:0008134; GO:0005737; GO:0000156; GO:0003677; GO:0045892; GO:0045893; GO:0005524; GO:0003700; GO:0000166; GO:0000160,Not Assigned,Caglar et al. 2017
codA,gluconate_growth,0.6630116912775283,Cytosine deaminase and related metal-dependent hydrolases,Poorly Characterized,poorly characterized,R,calgar_2017,REL606,0.00021812114180765405,GO:0102480; GO:0042802; GO:0046872; GO:0019858; GO:0016810; GO:0016787; GO:0035888; GO:0008270; GO:0008198; GO:0006209; GO:0005829; GO:0004131,cytosine deaminase,Caglar et al. 2017
codA,gluconate_growth,0.6630116912775283,Cytosine deaminase and related metal-dependent hydrolases,Poorly Characterized,poorly characterized,R,calgar_2017,REL606,0.00020419851573482507,GO:0102480; GO:0042802; GO:0046872; GO:0019858; GO:0016810; GO:0016787; GO:0035888; GO:0008270; GO:0008198; GO:0006209; GO:0005829; GO:0004131,cytosine deaminase,Caglar et al. 2017
codA,gluconate_growth,0.6630116912775283,Cytosine deaminase and related metal-dependent hydrolases,Poorly Characterized,poorly characterized,R,calgar_2017,REL606,0.0001299445100130705,GO:0102480; GO:0042802; GO:0046872; GO:0019858; GO:0016810; GO:0016787; GO:0035888; GO:0008270; GO:0008198; GO:0006209; GO:0005829; GO:0004131,cytosine deaminase,Caglar et al. 2017
codA,gluconate_growth,0.6630116912775283,Cytosine deaminase and related metal-dependent hydrolases,Poorly Characterized,poorly characterized,R,calgar_2017,REL606,0.00013922626072828981,GO:0102480; GO:0042802; GO:0046872; GO:0019858; GO:0016810; GO:0016787; GO:0035888; GO:0008270; GO:0008198; GO:0006209; GO:0005829; GO:0004131,cytosine deaminase,Caglar et al. 2017
mhpA,gluconate_growth,0.6630116912775283,2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,Metabolism,metabolism,C,calgar_2017,REL606,1.2128237481385739e-05,GO:0071949; GO:0005829; GO:0019439; GO:0019622; GO:0008688; GO:0019380; GO:0055114; GO:0016491,3-hydroxyphenylpropionate hydroxylase (EC 1.14.13.127),Caglar et al. 2017
mhpA,gluconate_growth,0.6630116912775283,2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,Metabolism,metabolism,C,calgar_2017,REL606,6.0641187406928695e-06,GO:0071949; GO:0005829; GO:0019439; GO:0019622; GO:0008688; GO:0019380; GO:0055114; GO:0016491,3-hydroxyphenylpropionate hydroxylase (EC 1.14.13.127),Caglar et al. 2017
dxs,gluconate_growth,0.6630116912775283,Deoxyxylulose-5-phosphate synthase,Metabolism,metabolism,H,calgar_2017,REL606,0.00024396790475201654,GO:0000287; GO:0019288; GO:0042803; GO:0016740; GO:0003824; GO:0016114; GO:0052865; GO:0046872; GO:0005829; GO:0030976; GO:0008299; GO:0008661; GO:0006744; GO:0008615; GO:0009228,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7),Caglar et al. 2017
dxs,gluconate_growth,0.6630116912775283,Deoxyxylulose-5-phosphate synthase,Metabolism,metabolism,H,calgar_2017,REL606,0.00020440554181925708,GO:0000287; GO:0019288; GO:0042803; GO:0016740; GO:0003824; GO:0016114; GO:0052865; GO:0046872; GO:0005829; GO:0030976; GO:0008299; GO:0008661; GO:0006744; GO:0008615; GO:0009228,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7),Caglar et al. 2017
dxs,gluconate_growth,0.6630116912775283,Deoxyxylulose-5-phosphate synthase,Metabolism,metabolism,H,calgar_2017,REL606,0.00019781181466379722,GO:0000287; GO:0019288; GO:0042803; GO:0016740; GO:0003824; GO:0016114; GO:0052865; GO:0046872; GO:0005829; GO:0030976; GO:0008299; GO:0008661; GO:0006744; GO:0008615; GO:0009228,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7),Caglar et al. 2017
dxs,gluconate_growth,0.6630116912775283,Deoxyxylulose-5-phosphate synthase,Metabolism,metabolism,H,calgar_2017,REL606,0.00021759299613017695,GO:0000287; GO:0019288; GO:0042803; GO:0016740; GO:0003824; GO:0016114; GO:0052865; GO:0046872; GO:0005829; GO:0030976; GO:0008299; GO:0008661; GO:0006744; GO:0008615; GO:0009228,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7),Caglar et al. 2017
clpP,gluconate_growth,0.6630116912775283,Protease subunit of ATP-dependent Clp proteases,Cellular Processes and Signaling,cellular processes and signaling,O,calgar_2017,REL606,8.139957489878816e-05,GO:0009368; GO:0051117; GO:0009376; GO:0009314; GO:0010498; GO:0004176; GO:0005515; GO:0042802; GO:0016787; GO:0008233; GO:0006508; GO:0005737; GO:0004252; GO:0009408; GO:0006515; GO:0008236; GO:0009266,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92),Caglar et al. 2017
clpP,gluconate_growth,0.6630116912775283,Protease subunit of ATP-dependent Clp proteases,Cellular Processes and Signaling,cellular processes and signaling,O,calgar_2017,REL606,7.913847559604405e-05,GO:0009368; GO:0051117; GO:0009376; GO:0009314; GO:0010498; GO:0004176; GO:0005515; GO:0042802; GO:0016787; GO:0008233; GO:0006508; GO:0005737; GO:0004252; GO:0009408; GO:0006515; GO:0008236; GO:0009266,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92),Caglar et al. 2017
clpP,gluconate_growth,0.6630116912775283,Protease subunit of ATP-dependent Clp proteases,Cellular Processes and Signaling,cellular processes and signaling,O,calgar_2017,REL606,8.139957489878816e-05,GO:0009368; GO:0051117; GO:0009376; GO:0009314; GO:0010498; GO:0004176; GO:0005515; GO:0042802; GO:0016787; GO:0008233; GO:0006508; GO:0005737; GO:0004252; GO:0009408; GO:0006515; GO:0008236; GO:0009266,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92),Caglar et al. 2017
clpP,gluconate_growth,0.6630116912775283,Protease subunit of ATP-dependent Clp proteases,Cellular Processes and Signaling,cellular processes and signaling,O,calgar_2017,REL606,7.009407838506758e-05,GO:0009368; GO:0051117; GO:0009376; GO:0009314; GO:0010498; GO:0004176; GO:0005515; GO:0042802; GO:0016787; GO:0008233; GO:0006508; GO:0005737; GO:0004252; GO:0009408; GO:0006515; GO:0008236; GO:0009266,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92),Caglar et al. 2017
sfmC,gluconate_growth,0.6630116912775283,"P pilus assembly protein, chaperone PapD",Cellular Processes and Signaling,cellular processes and signaling,W,calgar_2017,REL606,2.482557728436611e-06,GO:0061077; GO:0071555; GO:0030288; GO:0006457; GO:0043711; GO:0042597,"pilin chaperone, periplasmic",Caglar et al. 2017
sfmD,gluconate_growth,0.6630116912775283,"P pilus assembly protein, porin PapC",Cellular Processes and Signaling,cellular processes and signaling,W,calgar_2017,REL606,9.330021045786377e-06,GO:0055085; GO:0009297; GO:0015473; GO:0043711; GO:0016021; GO:0016020; GO:0009279,predicted outer membrane export usher protein,Caglar et al. 2017
sfmD,gluconate_growth,0.6630116912775283,"P pilus assembly protein, porin PapC",Cellular Processes and Signaling,cellular processes and signaling,W,calgar_2017,REL606,9.330021045786377e-06,GO:0055085; GO:0009297; GO:0015473; GO:0043711; GO:0016021; GO:0016020; GO:0009279,predicted outer membrane export usher protein,Caglar et al. 2017
sfmD,gluconate_growth,0.6630116912775283,"P pilus assembly protein, porin PapC",Cellular Processes and Signaling,cellular processes and signaling,W,calgar_2017,REL606,9.330021045786377e-06,GO:0055085; GO:0009297; GO:0015473; GO:0043711; GO:0016021; GO:0016020; GO:0009279,predicted outer membrane export usher protein,Caglar et al. 2017
sfmH,gluconate_growth,0.6630116912775283,"P pilus assembly protein, pilin FimA",Cellular Processes and Signaling,cellular processes and signaling,N,calgar_2017,REL606,3.4809246867103955e-06,GO:0043711; GO:0043709; GO:0030246; GO:0009289; GO:0007155; GO:0005537,predicted fimbrial-like adhesin protein,Caglar et al. 2017
fepC,gluconate_growth,0.6630116912775283,"ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components",Metabolism,metabolism,P,calgar_2017,REL606,5.8088223256937706e-06,GO:0005623; GO:0015620; GO:0015685; GO:0043190; GO:0016887; GO:0005829; GO:0055072; GO:0005886; GO:0016020; GO:0006811; GO:0005524; GO:0000166,iron-enterobactin transporter subunit,Caglar et al. 2017
entA,gluconate_growth,0.6630116912775283,Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),Metabolism,metabolism,Q,calgar_2017,REL606,2.559790257343901e-06,GO:0032991; GO:0005515; GO:0005829; GO:0019290; GO:0016491; GO:0042802; GO:0055114; GO:0008667; GO:0009239,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",Caglar et al. 2017
entA,gluconate_growth,0.6630116912775283,Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),Metabolism,metabolism,Q,calgar_2017,REL606,2.559790257343901e-06,GO:0032991; GO:0005515; GO:0005829; GO:0019290; GO:0016491; GO:0042802; GO:0055114; GO:0008667; GO:0009239,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",Caglar et al. 2017
entA,gluconate_growth,0.6630116912775283,Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),Poorly Characterized,metabolism,Q,calgar_2017,REL606,2.559790257343901e-06,GO:0032991; GO:0005515; GO:0005829; GO:0019290; GO:0016491; GO:0042802; GO:0055114; GO:0008667; GO:0009239,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",Caglar et al. 2017
entA,gluconate_growth,0.6630116912775283,Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),Poorly Characterized,metabolism,Q,calgar_2017,REL606,2.559790257343901e-06,GO:0032991; GO:0005515; GO:0005829; GO:0019290; GO:0016491; GO:0042802; GO:0055114; GO:0008667; GO:0009239,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",Caglar et al. 2017
ubiF,gluconate_growth,0.6630116912775283,2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,Metabolism,metabolism,C,calgar_2017,REL606,1.2565790962707722e-05,GO:0005737; GO:0110142; GO:0071949; GO:0005829; GO:0005515; GO:0016491; GO:0050660; GO:0016709; GO:0008682; GO:0055114; GO:0004497; GO:0016705; GO:0006744,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",Caglar et al. 2017
ubiF,gluconate_growth,0.6630116912775283,2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,Metabolism,metabolism,C,calgar_2017,REL606,1.6754387950276964e-05,GO:0005737; GO:0110142; GO:0071949; GO:0005829; GO:0005515; GO:0016491; GO:0050660; GO:0016709; GO:0008682; GO:0055114; GO:0004497; GO:0016705; GO:0006744,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",Caglar et al. 2017
ubiF,gluconate_growth,0.6630116912775283,2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,Metabolism,metabolism,C,calgar_2017,REL606,2.0942984937846208e-05,GO:0005737; GO:0110142; GO:0071949; GO:0005829; GO:0005515; GO:0016491; GO:0050660; GO:0016709; GO:0008682; GO:0055114; GO:0004497; GO:0016705; GO:0006744,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",Caglar et al. 2017
ubiF,gluconate_growth,0.6630116912775283,2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,Metabolism,metabolism,C,calgar_2017,REL606,1.6754387950276964e-05,GO:0005737; GO:0110142; GO:0071949; GO:0005829; GO:0005515; GO:0016491; GO:0050660; GO:0016709; GO:0008682; GO:0055114; GO:0004497; GO:0016705; GO:0006744,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",Caglar et al. 2017
nagC,gluconate_growth,0.6630116912775283,Transcriptional regulator/sugar kinase,Metabolism,information storage and processing,K,calgar_2017,REL606,6.94952337385781e-05,GO:0003700; GO:0005829; GO:0006355; GO:0005975; GO:0003677,"N-acetylglucosamine repressor, NagC",Caglar et al. 2017
nagC,gluconate_growth,0.6630116912775283,Transcriptional regulator/sugar kinase,Metabolism,information storage and processing,K,calgar_2017,REL606,5.212142530393357e-05,GO:0003700; GO:0005829; GO:0006355; GO:0005975; GO:0003677,"N-acetylglucosamine repressor, NagC",Caglar et al. 2017
nagC,gluconate_growth,0.6630116912775283,Transcriptional regulator/sugar kinase,Metabolism,information storage and processing,K,calgar_2017,REL606,6.0808329521255834e-05,GO:0003700; GO:0005829; GO:0006355; GO:0005975; GO:0003677,"N-acetylglucosamine repressor, NagC",Caglar et al. 2017
