gene_name,b_number,condition,cog_class,cog_category,cog_letter,gene_product,growth_rate_hr,dataset_name,strain,mass_frac
nuoc,b2286,M9_glucose,metabolism,energy production and conversion,C,NADH:quinone oxidoreductase subunit CD,0.6931471805599453,Soufi et al. 2015,BW25113,0.0004650445516660672
nuob,b2287,M9_glucose,metabolism,energy production and conversion,C,NADH:quinone oxidoreductase subunit B,0.6931471805599453,Soufi et al. 2015,BW25113,0.00012795300846351614
murq,b2428,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,N-acetylmuramic acid 6-phosphate etherase,0.6931471805599453,Soufi et al. 2015,BW25113,6.434371595902265e-06
ispg,b2515,M9_glucose,metabolism,lipid transport and metabolism,I,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),0.6931471805599453,Soufi et al. 2015,BW25113,0.0002084723525688677
rsea,b2572,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,anti-sigma-E factor RseA,0.6931471805599453,Soufi et al. 2015,BW25113,8.641948416048875e-05
eno,b2779,M9_glucose,metabolism,carbohydrate transport and metabolism,G,enolase,0.6931471805599453,Soufi et al. 2015,BW25113,0.008620818022579283
epd,b2927,M9_glucose,metabolism,carbohydrate transport and metabolism,G,D-erythrose-4-phosphate dehydrogenase,0.6931471805599453,Soufi et al. 2015,BW25113,4.4683346906554066e-05
rsme,b2946,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,16S rRNA m3U1498 methyltransferase,0.6931471805599453,Soufi et al. 2015,BW25113,2.24848534908864e-05
rlme,b3179,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA 2'-O-ribose U2552 methyltransferase,0.6931471805599453,Soufi et al. 2015,BW25113,1.3645096835435584e-05
rng,b3247,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,RNase G,0.6931471805599453,Soufi et al. 2015,BW25113,0.0001775724225903596
rplv,b3315,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,50S ribosomal subunit protein L22,0.6931471805599453,Soufi et al. 2015,BW25113,0.0008713523870494133
fusa,b3340,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,elongation factor G,0.6931471805599453,Soufi et al. 2015,BW25113,0.010188673757303625
rpsg,b3341,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,30S ribosomal subunit protein S7,0.6931471805599453,Soufi et al. 2015,BW25113,0.0029399999153983144
glgx,b3431,M9_glucose,metabolism,carbohydrate transport and metabolism,G,EG10381-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.00020748225476166458
glgb,b3432,M9_glucose,metabolism,carbohydrate transport and metabolism,G,GLYCOGEN-BRANCH-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.00032752163055188707
znta,b3469,M9_glucose,metabolism,inorganic ion transport and metabolism,P,Zn2+/Cd2+/Pb2+ exporting P-type ATPase,0.6931471805599453,Soufi et al. 2015,BW25113,2.919556996460059e-05
tata,b3836,M9_glucose,cellular processes and signaling,"intracellular trafficking, secretion, and vesicular transport",U,twin arginine protein translocation system - TatA protein,0.6931471805599453,Soufi et al. 2015,BW25113,9.908039153387562e-06
rpla,b3984,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,50S ribosomal subunit protein L1,0.6931471805599453,Soufi et al. 2015,BW25113,0.0026965651650246686
pepe,b4021,M9_glucose,metabolism,amino acid transport and metabolism,E,peptidase E,0.6931471805599453,Soufi et al. 2015,BW25113,6.586926173143751e-05
rluf,b4022,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA pseudouridine2604 and tRNATyr pseudouridine35 synthase,0.6931471805599453,Soufi et al. 2015,BW25113,1.2724167890873088e-05
mgta,b4242,M9_glucose,metabolism,inorganic ion transport and metabolism,P,Mg2+ importing P-type ATPase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00010785597945118123
rrab,b4255,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,ribonuclease E inhibitor protein B,0.6931471805599453,Soufi et al. 2015,BW25113,4.442344345156316e-06
rob,b4396,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional dual regulator Rob,0.6931471805599453,Soufi et al. 2015,BW25113,1.4532665082465308e-05
aaer,b3243,M9_glucose,information storage and processing,transcription,K,LysR-type transcriptional regulator AaeR,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
ubib,b3835,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,ubiquinone biosynthesis protein UbiB,0.6931471805599453,Soufi et al. 2015,BW25113,2.5448590676735765e-05
aas,b2836,M9_glucose,metabolism,"secondary metabolites biosynthesis, transport, and catabolism",Q,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,0.6931471805599453,Soufi et al. 2015,BW25113,3.5029161167083876e-05
metn,b0199,M9_glucose,metabolism,amino acid transport and metabolism,E,L-methionine/D-methionine ABC transporter ATP binding subunit,0.6931471805599453,Soufi et al. 2015,BW25113,0.000194148408391426
abgr,b1339,M9_glucose,information storage and processing,transcription,K,putative LysR-type DNA-binding transcriptional regulator AbgR,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
acca,b0185,M9_glucose,metabolism,lipid transport and metabolism,I,acetyl-CoA carboxyltransferase subunit &alpha;,0.6931471805599453,Soufi et al. 2015,BW25113,0.00033727191378784204
accb,b3255,M9_glucose,metabolism,coenzyme transport and metabolism,H,biotin carboxyl carrier protein,0.6931471805599453,Soufi et al. 2015,BW25113,7.937839945113668e-05
accc,b3256,M9_glucose,metabolism,lipid transport and metabolism,I,biotin carboxylase,0.6931471805599453,Soufi et al. 2015,BW25113,0.000697904541903136
accd,b2316,M9_glucose,metabolism,lipid transport and metabolism,I,acetyl-CoA carboxyltransferase subunit &beta;,0.6931471805599453,Soufi et al. 2015,BW25113,0.00021788375071876568
acea,b4015,M9_glucose,metabolism,energy production and conversion,C,isocitrate lyase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00787239282484169
aceb,b4014,M9_glucose,metabolism,energy production and conversion,C,MALATE-SYNTHASE,0.6931471805599453,Soufi et al. 2015,BW25113,0.005502957461828446
pdhr,b0113,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional dual regulator PdhR,0.6931471805599453,Soufi et al. 2015,BW25113,1.4162170939678412e-05
acee,b0114,M9_glucose,metabolism,energy production and conversion,C,pyruvate dehydrogenase E1 component,0.6931471805599453,Soufi et al. 2015,BW25113,0.005173112018850688
acef,b0115,M9_glucose,metabolism,energy production and conversion,C,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",0.6931471805599453,Soufi et al. 2015,BW25113,0.0030986279054216487
acek,b4016,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,isocitrate dehydrogenase kinase/phosphatase,0.6931471805599453,Soufi et al. 2015,BW25113,1.2141778444498944e-05
acka,b2296,M9_glucose,metabolism,energy production and conversion,C,acetate kinase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0008918503740516316
acna,b1276,M9_glucose,metabolism,energy production and conversion,C,aconitate hydratase 1,0.6931471805599453,Soufi et al. 2015,BW25113,0.00041024730530232355
acnb,b0118,M9_glucose,metabolism,energy production and conversion,C,AcnB,0.6931471805599453,Soufi et al. 2015,BW25113,0.001950106686422205
azor,b1412,M9_glucose,metabolism,energy production and conversion,C,FMN dependent NADH:quinone oxidoreductase,0.6931471805599453,Soufi et al. 2015,BW25113,7.296690508150447e-05
acpp,b1094,M9_glucose,metabolism,"secondary metabolites biosynthesis, transport, and catabolism",Q,"octanoyl-ACP // ""lipoyl-ACP"" // ""cis-&Delta;5-dodecenoyl-ACP"" // ""trans-&Delta;2-cis-&Delta;5-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""cis-&Delta;3-decenoyl-ACP"" // ""3-oxo-cis-&Delta;5-dodecenoyl-ACP"" // ""(3R)-hydroxy cis &Delta;5-dodecenoyl-ACP"" // ""(3R)-3-hydroxypalmitoyl-ACP"" // ""(3R)-3-hydroxybutanoyl-ACP"" // ""trans oct-2-enoyl-ACP"" // ""trans-but-2-enoyl-ACP"" // ""(3R)-3-hydroxyoctanoyl-ACP"" // ""trans-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",0.6931471805599453,Soufi et al. 2015,BW25113,0.0010397346875202329
acps,b2563,M9_glucose,metabolism,lipid transport and metabolism,I,holo-[acyl-carrier-protein] synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
acra,b0463,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,multidrug efflux pump membrane fusion lipoprotein AcrA,0.6931471805599453,Soufi et al. 2015,BW25113,0.0007073890509232714
acrb,b0462,M9_glucose,cellular processes and signaling,defense mechanisms,V,multidrug efflux pump RND permease AcrB,0.6931471805599453,Soufi et al. 2015,BW25113,0.0006489197964797412
gyrb,b3699,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,DNA gyrase subunit B,0.6931471805599453,Soufi et al. 2015,BW25113,0.0006662958615895039
acrd,b2470,M9_glucose,cellular processes and signaling,defense mechanisms,V,multidrug efflux pump RND permease AcrD,0.6931471805599453,Soufi et al. 2015,BW25113,1.362460492314519e-06
acs,b4069,M9_glucose,metabolism,lipid transport and metabolism,I,acetyl-CoA synthetase (AMP-forming),0.6931471805599453,Soufi et al. 2015,BW25113,0.00038920741869284627
gadc,b1492,M9_glucose,metabolism,amino acid transport and metabolism,E,XASA-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.0005971622131894874
pfla,b0902,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,pyruvate formate-lyase activating enzyme,0.6931471805599453,Soufi et al. 2015,BW25113,0.00011760444818683684
actp,b4067,M9_glucose,metabolism,energy production and conversion,C,acetate/glycolate:cation symporter,0.6931471805599453,Soufi et al. 2015,BW25113,0.0012649261107728089
aded,b3665,M9_glucose,metabolism,nucleotide transport and metabolism,F,adenine deaminase,0.6931471805599453,Soufi et al. 2015,BW25113,1.021792225365745e-05
pura,b4177,M9_glucose,metabolism,nucleotide transport and metabolism,F,adenylosuccinate synthetase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0027884353510886258
frma,b0356,M9_glucose,poorly characterized,general function prediction only,R,S-(hydroxymethyl)glutathione dehydrogenase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0002574631898380356
adhe,b1241,M9_glucose,metabolism,energy production and conversion,C,aldehyde/alcohol dehydrogenase AdhE,0.6931471805599453,Soufi et al. 2015,BW25113,0.005054059069072454
adhp,b1478,M9_glucose,metabolism,carbohydrate transport and metabolism,G,ethanol dehydrogenase / alcohol dehydrogenase,0.6931471805599453,Soufi et al. 2015,BW25113,3.976452957994723e-05
adia,b4117,M9_glucose,metabolism,amino acid transport and metabolism,E,"arginine decarboxylase, degradative",0.6931471805599453,Soufi et al. 2015,BW25113,0.0
adic,b4115,M9_glucose,metabolism,amino acid transport and metabolism,E,arginine:agmatine antiporter,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
adk,b0474,M9_glucose,metabolism,nucleotide transport and metabolism,F,adenylate kinase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0007182827558594248
fold,b0529,M9_glucose,metabolism,coenzyme transport and metabolism,H,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",0.6931471805599453,Soufi et al. 2015,BW25113,0.0006780682001656748
msck,b0465,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,"potassium dependent, small conductance mechanosensitive channel",0.6931471805599453,Soufi et al. 2015,BW25113,4.030049969764177e-05
agar,b3131,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional repressor AgaR,0.6931471805599453,Soufi et al. 2015,BW25113,6.649370422693989e-06
agav,b3133,M9_glucose,metabolism,carbohydrate transport and metabolism,G,N-acetyl-D-galactosamine specific PTS enzyme IIB component,0.6931471805599453,Soufi et al. 2015,BW25113,1.1199963320563054e-06
agp,b1002,M9_glucose,Not Assigned,Not Assigned,Not Assigned,glucose-1-phosphatase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00022530578299464994
ahpc,b0605,M9_glucose,cellular processes and signaling,defense mechanisms,V,"alkyl hydroperoxide reductase, AhpC component",0.6931471805599453,Soufi et al. 2015,BW25113,0.004415901016594608
ahpf,b0606,M9_glucose,cellular processes and signaling,defense mechanisms,V,"alkyl hydroperoxide reductase, AhpF component",0.6931471805599453,Soufi et al. 2015,BW25113,0.000776902330172347
alka,b2068,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,DNA-3-methyladenine glycosylase 2,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
aidb,b4187,M9_glucose,metabolism,lipid transport and metabolism,I,putative acyl-CoA dehydrogenase AidB,0.6931471805599453,Soufi et al. 2015,BW25113,5.771422563349571e-05
ais,b2252,M9_glucose,Not Assigned,Not Assigned,Not Assigned,putative lipopolysaccharide core heptose(II)-phosphate phosphatase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
alas,b2697,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,0.6931471805599453,Soufi et al. 2015,BW25113,0.001358079197392629
alda,b1415,M9_glucose,metabolism,energy production and conversion,C,aldehyde dehydrogenase A,0.6931471805599453,Soufi et al. 2015,BW25113,0.0010423949100758412
aldb,b3588,M9_glucose,metabolism,energy production and conversion,C,aldehyde dehydrogenase B,0.6931471805599453,Soufi et al. 2015,BW25113,3.396719525753631e-05
puuc,b1300,M9_glucose,metabolism,energy production and conversion,C,&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase,0.6931471805599453,Soufi et al. 2015,BW25113,0.004012428826536534
allr,b0506,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional repressor AllR,0.6931471805599453,Soufi et al. 2015,BW25113,0.0002053608702861162
dadx,b1190,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,alanine racemase 2,0.6931471805599453,Soufi et al. 2015,BW25113,8.434919319114711e-06
alr,b4053,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,alanine racemase 1,0.6931471805599453,Soufi et al. 2015,BW25113,1.8038097370185146e-05
lrp,b0889,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional dual regulator Lrp,0.6931471805599453,Soufi et al. 2015,BW25113,0.0005711460756231309
alsb,b4088,M9_glucose,metabolism,carbohydrate transport and metabolism,G,D-allose ABC transporter periplasmic binding protein,0.6931471805599453,Soufi et al. 2015,BW25113,1.785665198874294e-05
alsr,b4089,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional repressor AlsR,0.6931471805599453,Soufi et al. 2015,BW25113,4.411094372770135e-06
rpod,b3067,M9_glucose,information storage and processing,transcription,K,"RNA polymerase, sigma 70 (sigma D) factor",0.6931471805599453,Soufi et al. 2015,BW25113,0.0005019348242453995
amia,b2435,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,N-acetylmuramoyl-L-alanine amidase A,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
amib,b4169,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,N-acetylmuramoyl-L-alanine amidase B,0.6931471805599453,Soufi et al. 2015,BW25113,7.609706399131036e-06
amic,b2817,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,N-acetylmuramoyl-L-alanine amidase C,0.6931471805599453,Soufi et al. 2015,BW25113,2.3554292132299596e-06
amid,b0867,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,N-acetylmuramoyl-L-alanine amidase D,0.6931471805599453,Soufi et al. 2015,BW25113,3.523146644401787e-06
amn,b1982,M9_glucose,metabolism,nucleotide transport and metabolism,F,AMP nucleosidase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00018700595094016156
ampc,b4150,M9_glucose,cellular processes and signaling,defense mechanisms,V,&beta;-lactamase,0.6931471805599453,Soufi et al. 2015,BW25113,1.0089160173666048e-05
ampd,b0110,M9_glucose,Not Assigned,Not Assigned,Not Assigned,"1,6-anhydro-N-acetylmuramoyl-L-alanine amidase",0.6931471805599453,Soufi et al. 2015,BW25113,2.0087697862282826e-05
amph,b0376,M9_glucose,cellular processes and signaling,defense mechanisms,V,peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase,0.6931471805599453,Soufi et al. 2015,BW25113,3.8247459049729195e-06
cysq,b4214,M9_glucose,metabolism,inorganic ion transport and metabolism,P,EG10043-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.00011493847033221209
amya,b1927,M9_glucose,metabolism,carbohydrate transport and metabolism,G,ALPHA-AMYL-CYTO-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.00014090174588615744
anmk,b1640,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,anhydro-N-acetylmuramic acid kinase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
osme,b1739,M9_glucose,Not Assigned,Not Assigned,Not Assigned,osmotically-inducible lipoprotein OsmE,0.6931471805599453,Soufi et al. 2015,BW25113,0.0007700442125876507
ansa,b1767,M9_glucose,cellular processes and signaling,"intracellular trafficking, secretion, and vesicular transport",U,L-asparaginase 1,0.6931471805599453,Soufi et al. 2015,BW25113,5.059925633186863e-05
ansb,b2957,M9_glucose,cellular processes and signaling,"intracellular trafficking, secretion, and vesicular transport",U,L-asparaginase 2,0.6931471805599453,Soufi et al. 2015,BW25113,1.366162897337429e-06
nhar,b0020,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional activator NhaR,0.6931471805599453,Soufi et al. 2015,BW25113,5.508435617143748e-06
apah,b0049,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,diadenosine tetraphosphatase,0.6931471805599453,Soufi et al. 2015,BW25113,3.336494904269961e-05
pane,b0425,M9_glucose,metabolism,coenzyme transport and metabolism,H,2-dehydropantoate 2-reductase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
ftp,b2214,M9_glucose,metabolism,coenzyme transport and metabolism,H,FAD:protein FMN transferase,0.6931471805599453,Soufi et al. 2015,BW25113,1.246813473410063e-06
tesa,b0494,M9_glucose,metabolism,amino acid transport and metabolism,E,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,0.6931471805599453,Soufi et al. 2015,BW25113,0.00012892759042025002
apha,b4055,M9_glucose,metabolism,inorganic ion transport and metabolism,P,acid phosphatase / phosphotransferase,0.6931471805599453,Soufi et al. 2015,BW25113,6.9897319911826405e-06
lysc,b4024,M9_glucose,metabolism,amino acid transport and metabolism,E,aspartate kinase III,0.6931471805599453,Soufi et al. 2015,BW25113,2.2642722951913325e-05
appa,b0980,M9_glucose,Not Assigned,Not Assigned,Not Assigned,periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase,0.6931471805599453,Soufi et al. 2015,BW25113,1.5018894578951983e-05
appc,b0978,M9_glucose,metabolism,energy production and conversion,C,cytochrome bd-II ubiquinol oxidase subunit I,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
rpos,b2741,M9_glucose,information storage and processing,transcription,K,"RNA polymerase, sigma S (sigma 38) factor",0.6931471805599453,Soufi et al. 2015,BW25113,3.610665437797918e-05
appy,b0564,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional activator AppY,0.6931471805599453,Soufi et al. 2015,BW25113,6.71271054701856e-06
apt,b0469,M9_glucose,metabolism,nucleotide transport and metabolism,F,adenine phosphoribosyltransferase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00021159399904050187
araf,b1901,M9_glucose,metabolism,carbohydrate transport and metabolism,G,arabinose ABC transporter periplasmic binding protein,0.6931471805599453,Soufi et al. 2015,BW25113,6.03536963385502e-07
arca,b4401,M9_glucose,information storage and processing,transcription,K,"Phosphorylated DNA-binding transcriptional dual regulator ArcA // ""DNA-binding transcriptional dual regulator ArcA""",0.6931471805599453,Soufi et al. 2015,BW25113,0.0008164891017260497
arcb,b3210,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,"ArcB-N-phospho-L-histidine-292 // ""ArcB-phospho-L-aspartate-576"" // ""ArcB-N-phospho-L-histidine-717"" // ""sensor histidine kinase ArcB""",0.6931471805599453,Soufi et al. 2015,BW25113,9.164302549361356e-05
arga,b2818,M9_glucose,metabolism,amino acid transport and metabolism,E,N-acetylglutamate synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00025946934723257626
argb,b3959,M9_glucose,metabolism,amino acid transport and metabolism,E,acetylglutamate kinase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0005018805369419672
argc,b3958,M9_glucose,metabolism,amino acid transport and metabolism,E,N-ACETYLGLUTPREDUCT-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.0006751315044130812
argd,b3359,M9_glucose,metabolism,amino acid transport and metabolism,E,N-acetylornithine aminotransferase / N-succinyldiaminopimelate aminotransferase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0011571366689439146
arge,b3957,M9_glucose,metabolism,amino acid transport and metabolism,E,acetylornithine deacetylase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0007948443344311902
argf,b0273,M9_glucose,metabolism,amino acid transport and metabolism,E,CP4-6 prophage; ornithine carbamoyltransferase ArgF,0.6931471805599453,Soufi et al. 2015,BW25113,0.0002914644041739345
argg,b3172,M9_glucose,metabolism,amino acid transport and metabolism,E,argininosuccinate synthetase,0.6931471805599453,Soufi et al. 2015,BW25113,0.003721015670157693
argh,b3960,M9_glucose,metabolism,amino acid transport and metabolism,E,ARGSUCCINLYA-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.0009540869847849019
argi,b4254,M9_glucose,metabolism,amino acid transport and metabolism,E,ornithine carbamoyltransferase ArgI,0.6931471805599453,Soufi et al. 2015,BW25113,0.00033666167911745496
astc,b1748,M9_glucose,metabolism,amino acid transport and metabolism,E,succinylornithine transaminase,0.6931471805599453,Soufi et al. 2015,BW25113,2.0286513512917916e-05
argr,b3237,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional dual regulator ArgR,0.6931471805599453,Soufi et al. 2015,BW25113,3.3468379259094696e-06
args,b1876,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,arginine&mdash;tRNA ligase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0005162846358626442
argt,b2310,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,lysine/arginine/ornithine ABC transporter periplasmic binding protein,0.6931471805599453,Soufi et al. 2015,BW25113,0.0008842685200617283
aroa,b0908,M9_glucose,metabolism,amino acid transport and metabolism,E,AROA-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.0005134766227542097
arob,b3389,M9_glucose,metabolism,amino acid transport and metabolism,E,AROB-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.00013572144121192252
aroc,b2329,M9_glucose,metabolism,amino acid transport and metabolism,E,chorismate synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0003961093559180822
arod,b1693,M9_glucose,metabolism,amino acid transport and metabolism,E,3-dehydroquinate dehydratase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00017072541493958772
