gene_name,b_number,condition,cog_class,cog_category,cog_letter,gene_product,growth_rate_hr,dataset_name,strain,mass_frac,go_terms,cog_desc
opgg,b1048,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,osmoregulated periplasmic glucans (OPGs) biosynthesis protein G,0.6931471805599453,Soufi et al. 2015,BW25113,0.0007185476176325962,GO:0009250; GO:0051274; GO:0016051; GO:0005975; GO:0030246; GO:0003824; GO:0030288; GO:0006970; GO:0042597,osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein
rne,b1084,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,ribonuclease E,0.6931471805599453,Soufi et al. 2015,BW25113,0.001304707925341211,GO:0090502; GO:0004521; GO:1990061; GO:0042802; GO:1902280; GO:0017151; GO:0008312; GO:0051289; GO:0003676; GO:0090501; GO:0090305; GO:0008995; GO:0046872; GO:0016020; GO:0009898; GO:0008270; GO:0008033; GO:0006402; GO:0006364; GO:0000287; GO:0006396; GO:0004540; GO:0005886; GO:0005737; GO:0000967; GO:0016787; GO:0005515; GO:0004519; GO:0004518; GO:0003723; GO:0006401,RNAse E (EC 3.1.26.12)
rlue,b1135,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA pseudouridine2457 synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0120159; GO:0009451; GO:0005829; GO:0016866; GO:0016853; GO:0006364; GO:0001522; GO:0003723; GO:0000455; GO:0009982,ribosomal large subunit pseudouridine synthase E (EC 5.4.99.-)
hlye,b1182,M9_glucose,Not Assigned,Not Assigned,Not Assigned,hemolysin E,0.6931471805599453,Soufi et al. 2015,BW25113,2.34926154140985e-07,GO:0001897; GO:0090729; GO:0044532; GO:0042802; GO:0019835; GO:0016021; GO:0016020; GO:0009405; GO:0030288; GO:0033644; GO:0020002; GO:0044179; GO:0005576; GO:0042597,Not Assigned
rlub,b1269,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA pseudouridine2605 synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00010051016593322259,GO:0120159; GO:0009451; GO:0005829; GO:0005515; GO:0016866; GO:0016853; GO:0006364; GO:0001522; GO:0000455; GO:0003723; GO:0009982,ribosomal large subunit pseudouridine synthase B (EC 5.4.99.-)
opgd,b1424,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,glucan biosynthesis protein D,0.6931471805599453,Soufi et al. 2015,BW25113,6.566658532122945e-05,GO:0051274; GO:0009250; GO:0042597; GO:0005975; GO:0030246; GO:0016051; GO:0003824; GO:0032951; GO:0030288,osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein
rsxg,b1631,M9_glucose,metabolism,energy production and conversion,C,SoxR [2Fe-2S] reducing system protein RsxG,0.6931471805599453,Soufi et al. 2015,BW25113,1.5954168096852508e-05,GO:0009279; GO:0055114; GO:0010181; GO:0009055; GO:0022900; GO:0005886; GO:0016021; GO:0016020,electron transport complex protein required for the reduction of SoxR
yoba,b1841,M9_glucose,metabolism,inorganic ion transport and metabolism,P,CopC domain-containing protein,0.6931471805599453,Soufi et al. 2015,BW25113,9.583225617772145e-05,GO:0006825; GO:0030288; GO:0046688; GO:0005507; GO:0046872; GO:0042597,conserved protein
sbmc,b2009,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,DNA gyrase inhibitor,0.6931471805599453,Soufi et al. 2015,BW25113,3.449714453463723e-05,GO:2000372; GO:0008657; GO:0006974; GO:0005829; GO:0019899; GO:2000104; GO:0005737,DNA gyrase inhibitor
rsua,b2183,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,16S rRNA pseudouridine516 synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0001407630657757978,GO:0120159; GO:0009451; GO:0016866; GO:0016853; GO:0006364; GO:0001522; GO:0005829; GO:0000455; GO:0005515; GO:0003723; GO:0009982,ribosomal small subunit pseudouridine synthase A (EC 5.4.99.-)
nuoe,b2285,M9_glucose,metabolism,energy production and conversion,C,NADH:quinone oxidoreductase subunit E,0.6931471805599453,Soufi et al. 2015,BW25113,7.297717952536468e-05,GO:0005515; GO:0055114; GO:0030964; GO:0005886; GO:0045272; GO:0051536; GO:0048038; GO:0046872; GO:0016491; GO:0051537,NADH dehydrogenase subunit E (EC 1.6.5.3)
nuoc,b2286,M9_glucose,metabolism,energy production and conversion,C,NADH:quinone oxidoreductase subunit CD,0.6931471805599453,Soufi et al. 2015,BW25113,0.0004650445516660672,GO:0016655; GO:0005737; GO:0050136; GO:0016651; GO:0003824; GO:0005515; GO:0055114; GO:0051287; GO:0008152; GO:0016020; GO:0030964; GO:0005886; GO:0045272; GO:0048038; GO:0008137,NADH dehydrogenase subunit C (EC 1.6.5.3)/NADH dehydrogenase subunit D (EC 1.6.5.3)
nuob,b2287,M9_glucose,metabolism,energy production and conversion,C,NADH:quinone oxidoreductase subunit B,0.6931471805599453,Soufi et al. 2015,BW25113,0.00012795300846351614,GO:0055114; GO:0050136; GO:0005506; GO:0051536; GO:0016020; GO:0005886; GO:0030964; GO:0045272; GO:0048038; GO:0046872; GO:0015990; GO:0051539; GO:0008137; GO:0009060,NADH dehydrogenase subunit B (EC 1.6.5.3)
murq,b2428,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,N-acetylmuramic acid 6-phosphate etherase,0.6931471805599453,Soufi et al. 2015,BW25113,6.434371595902265e-06,GO:0006040; GO:1901135; GO:0097367; GO:0005829; GO:0016829; GO:0005515; GO:0097175; GO:0097173; GO:0005975; GO:0016803; GO:0046348; GO:0016835; GO:0009254,N-acetylmuramate 6-phosphate etherase (EC 3.3.2.-)
ispg,b2515,M9_glucose,metabolism,lipid transport and metabolism,I,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),0.6931471805599453,Soufi et al. 2015,BW25113,0.0002084723525688677,GO:0005829; GO:0005515; GO:0044237; GO:0016491; GO:0016114; GO:0005506; GO:0019288; GO:0055114; GO:0051539; GO:0051536; GO:0046872; GO:0008299; GO:0046429,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.4.3)
rsea,b2572,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,anti-sigma-E factor RseA,0.6931471805599453,Soufi et al. 2015,BW25113,8.641948416048875e-05,GO:1903507; GO:0005887; GO:0006950; GO:0005515; GO:0005886; GO:0016021; GO:0016020; GO:0016989,"anti sigma-E protein, RseA"
eno,b2779,M9_glucose,metabolism,carbohydrate transport and metabolism,G,enolase,0.6931471805599453,Soufi et al. 2015,BW25113,0.008620818022579283,GO:0042803; GO:0046872; GO:0016829; GO:0005737; GO:0000015; GO:0005576; GO:0009986; GO:0005829; GO:0042802; GO:0005856; GO:0005515; GO:0000287; GO:0004634; GO:0006096,enolase (EC 4.2.1.11)
epd,b2927,M9_glucose,metabolism,carbohydrate transport and metabolism,G,D-erythrose-4-phosphate dehydrogenase,0.6931471805599453,Soufi et al. 2015,BW25113,4.4683346906554066e-05,GO:0016620; GO:0016491; GO:0005829; GO:0006006; GO:0055114; GO:0051287; GO:0048001; GO:0042823; GO:0004365; GO:0008615; GO:0005737,erythrose 4-phosphate dehydrogenase (EC 1.2.1.72)
rsme,b2946,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,16S rRNA m3U1498 methyltransferase,0.6931471805599453,Soufi et al. 2015,BW25113,2.24848534908864e-05,GO:0042803; GO:0005829; GO:0032259; GO:0016740; GO:0008168; GO:0006364; GO:0070475; GO:0005737; GO:0070042,16S rRNA m(3)U-1498 methyltransferase (EC 2.1.1.193)
rlme,b3179,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA 2'-O-ribose U2552 methyltransferase,0.6931471805599453,Soufi et al. 2015,BW25113,1.3645096835435584e-05,GO:0000027; GO:0005829; GO:0032259; GO:0016740; GO:0016436; GO:0008168; GO:0006364; GO:0001510; GO:0000453; GO:0008650; GO:0005737,23S rRNA Um-2552 2'-O-methyltransferase (EC 2.1.1.166)
rng,b3247,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,RNase G,0.6931471805599453,Soufi et al. 2015,BW25113,0.0001775724225903596,GO:0005515; GO:0042803; GO:0003676; GO:0090501; GO:0090305; GO:0046872; GO:0016787; GO:0006396; GO:0004540; GO:0004518; GO:0003723; GO:0005829; GO:0006364; GO:0008996; GO:0051301; GO:0007049; GO:0005856; GO:0004519; GO:0005737,RNAse G (EC 3.1.4.-)
rplv,b3315,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,50S ribosomal subunit protein L22,0.6931471805599453,Soufi et al. 2015,BW25113,0.0008713523870494133,GO:0042788; GO:0042255; GO:0005829; GO:0005515; GO:0015934; GO:0006412; GO:0003735; GO:0022625; GO:0046677; GO:0019843; GO:0005840; GO:0003723,LSU ribosomal protein L22P
fusa,b3340,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,elongation factor G,0.6931471805599453,Soufi et al. 2015,BW25113,0.010188673757303625,GO:0003924; GO:0005829; GO:0006414; GO:0005525; GO:0003746; GO:0000166; GO:0006412; GO:0005737,translation elongation factor 2 (EF-2/EF-G)
rpsg,b3341,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,30S ribosomal subunit protein S7,0.6931471805599453,Soufi et al. 2015,BW25113,0.0029399999153983144,GO:0005829; GO:0015935; GO:0006412; GO:0005840; GO:0003723; GO:0003735; GO:0000028; GO:0003729; GO:0017148; GO:0005515; GO:0022627; GO:0019843; GO:0000049,SSU ribosomal protein S7P
glgx,b3431,M9_glucose,metabolism,carbohydrate transport and metabolism,G,EG10381-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.00020748225476166458,GO:0016798; GO:0016787; GO:0004553; GO:0003824; GO:0006974; GO:0005980; GO:0005829; GO:0008152; GO:0005977; GO:0005975; GO:0004135; GO:0004133,isoamylase
glgb,b3432,M9_glucose,metabolism,carbohydrate transport and metabolism,G,GLYCOGEN-BRANCH-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.00032752163055188707,GO:0102752; GO:0016757; GO:0016740; GO:0005977; GO:0005975; GO:0003824; GO:0043169; GO:0004553; GO:0006974; GO:0005829; GO:0003844; GO:0005978,glycogen branching enzyme (EC 2.4.1.18)
znta,b3469,M9_glucose,metabolism,inorganic ion transport and metabolism,P,Zn2+/Cd2+/Pb2+ exporting P-type ATPase,0.6931471805599453,Soufi et al. 2015,BW25113,2.919556996460059e-05,GO:0098655; GO:0015086; GO:0005385; GO:0006811; GO:0006812; GO:0071577; GO:0070574; GO:0035444; GO:0030001; GO:0019829; GO:0016787; GO:0016020; GO:0016887; GO:0006829; GO:0005524; GO:0000166; GO:0015094; GO:0015087; GO:0015099; GO:0006824; GO:0015692; GO:0046686; GO:0010312; GO:0005886; GO:0046872; GO:0016021; GO:0008551; GO:0016463,"zinc, cobalt and lead efflux system"
tata,b3836,M9_glucose,cellular processes and signaling,"intracellular trafficking, secretion, and vesicular transport",U,twin arginine protein translocation system - TatA protein,0.6931471805599453,Soufi et al. 2015,BW25113,9.908039153387562e-06,GO:0008320; GO:0005515; GO:0005829; GO:0042802; GO:0065002; GO:0016020; GO:0005886; GO:0043953; GO:0005887; GO:0033281; GO:0009977; GO:0015031; GO:0016021,TatABCE protein translocation system subunit
rpla,b3984,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,50S ribosomal subunit protein L1,0.6931471805599453,Soufi et al. 2015,BW25113,0.0026965651650246686,GO:0000027; GO:0000470; GO:0005829; GO:0006417; GO:0006412; GO:0015934; GO:0003735; GO:0022625; GO:0019843; GO:0005840; GO:0005515; GO:0003723; GO:0000049; GO:0045947,LSU ribosomal protein L1P
pepe,b4021,M9_glucose,metabolism,amino acid transport and metabolism,E,peptidase E,0.6931471805599453,Soufi et al. 2015,BW25113,6.586926173143751e-05,GO:0005515; GO:0005829; GO:0016787; GO:0016805; GO:0008236; GO:0008233; GO:0005737; GO:0006508,dipeptidase E (EC:3.4.13.21). Serine peptidase. MEROPS family S51
rluf,b4022,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA pseudouridine2604 and tRNATyr pseudouridine35 synthase,0.6931471805599453,Soufi et al. 2015,BW25113,1.2724167890873088e-05,GO:0008033; GO:0106029; GO:0120159; GO:0031119; GO:0009451; GO:0005829; GO:0016866; GO:0016853; GO:0006364; GO:0001522; GO:0000455; GO:0003723; GO:0009982,ribosomal large subunit pseudouridine synthase F (EC 5.4.99.-)
mgta,b4242,M9_glucose,metabolism,inorganic ion transport and metabolism,P,Mg2+ importing P-type ATPase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00010785597945118123,GO:0015662; GO:0071286; GO:0005515; GO:1903830; GO:0005887; GO:0015693; GO:0005886; GO:0046872; GO:0016021; GO:0016020; GO:0005524; GO:0000166; GO:0015444,magnesium transporter
rrab,b4255,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,ribonuclease E inhibitor protein B,0.6931471805599453,Soufi et al. 2015,BW25113,4.442344345156316e-06,GO:0060702; GO:0043086; GO:0005829; GO:0005515; GO:0042803; GO:0060699; GO:0005737; GO:0060698; GO:0019899; GO:0006402; GO:0050790; GO:0008428,protein inhibitor of RNase E
rob,b4396,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional dual regulator Rob,0.6931471805599453,Soufi et al. 2015,BW25113,1.4532665082465308e-05,GO:0006355; GO:0003700; GO:0043565; GO:0005829; GO:0003677; GO:0005737,"transcriptional regulator, AraC family"
aaer,b3243,M9_glucose,information storage and processing,transcription,K,LysR-type transcriptional regulator AaeR,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0045893; GO:0005829; GO:0003700; GO:0006352; GO:0006355; GO:0003677; GO:0006351,transcriptional regulator for aaeXAB operon
ubib,b3835,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,ubiquinone biosynthesis protein UbiB,0.6931471805599453,Soufi et al. 2015,BW25113,2.5448590676735765e-05,GO:0010795; GO:0006468; GO:0004672; GO:0016740; GO:0016310; GO:0016301; GO:0005524; GO:0000166; GO:0005886; GO:0016021; GO:0016020; GO:0006744,2-octaprenylphenol hydroxylase (EC 1.14.13.-)
aas,b2836,M9_glucose,metabolism,"secondary metabolites biosynthesis, transport, and catabolism",Q,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,0.6931471805599453,Soufi et al. 2015,BW25113,3.5029161167083876e-05,GO:0016874; GO:0016746; GO:0016740; GO:0016020; GO:0003824; GO:0008654; GO:0008152; GO:0006631; GO:0005886; GO:0016021; GO:0005524; GO:0000166; GO:0008779; GO:0008922,fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase
metn,b0199,M9_glucose,metabolism,amino acid transport and metabolism,E,L-methionine/D-methionine ABC transporter ATP binding subunit,0.6931471805599453,Soufi et al. 2015,BW25113,0.000194148408391426,GO:0015424; GO:0003333; GO:1902475; GO:0009276; GO:0055052; GO:0015191; GO:0055085; GO:0042626; GO:0015821; GO:0005515; GO:0016787; GO:0000166; GO:0048473; GO:0006865; GO:0005886; GO:0048474; GO:0016887; GO:0016020; GO:0005524,DL-methionine transporter subunit
abgr,b1339,M9_glucose,information storage and processing,transcription,K,putative LysR-type DNA-binding transcriptional regulator AbgR,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0005829; GO:0006355; GO:0003700; GO:0003677; GO:0006351,predicted DNA-binding transcriptional regulator of abgABT operon
acca,b0185,M9_glucose,metabolism,lipid transport and metabolism,I,acetyl-CoA carboxyltransferase subunit &alpha;,0.6931471805599453,Soufi et al. 2015,BW25113,0.00033727191378784204,GO:0016743; GO:0016740; GO:0042802; GO:0009317; GO:0006631; GO:0006629; GO:2001295; GO:0042759; GO:0005737; GO:0005829; GO:0005524; GO:0000166; GO:0009329; GO:0016874; GO:0006633; GO:0005515; GO:0003989,acetyl-CoA carboxylase carboxyltransferase subunit alpha
accb,b3255,M9_glucose,metabolism,coenzyme transport and metabolism,H,biotin carboxyl carrier protein,0.6931471805599453,Soufi et al. 2015,BW25113,7.937839945113668e-05,GO:0009305; GO:0005829; GO:0005515; GO:0006631; GO:0006629; GO:0009317; GO:0005737; GO:0006633; GO:0003989,biotin carboxyl carrier protein
accc,b3256,M9_glucose,metabolism,lipid transport and metabolism,I,biotin carboxylase,0.6931471805599453,Soufi et al. 2015,BW25113,0.000697904541903136,GO:0005515; GO:0016874; GO:0006631; GO:0006629; GO:0046872; GO:2001295; GO:0005829; GO:0042803; GO:0045717; GO:0006633; GO:0005524; GO:0000166; GO:0004075; GO:0003989; GO:0005737,biotin carboxylase (EC 6.3.4.14)
accd,b2316,M9_glucose,metabolism,lipid transport and metabolism,I,acetyl-CoA carboxyltransferase subunit &beta;,0.6931471805599453,Soufi et al. 2015,BW25113,0.00021788375071876568,GO:0016743; GO:0016740; GO:0009317; GO:0006631; GO:0006629; GO:0006417; GO:0005737; GO:0003723; GO:0046872; GO:2001295; GO:0042759; GO:0005524; GO:0000166; GO:0017148; GO:0003677; GO:0009329; GO:0003729; GO:0008270; GO:0006633; GO:0005515; GO:0003989,acetyl-CoA carboxylase carboxyltransferase subunit alpha
acea,b4015,M9_glucose,metabolism,energy production and conversion,C,isocitrate lyase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00787239282484169,GO:0003824; GO:0046872; GO:0016829; GO:0019752; GO:0043169; GO:0006099; GO:0004451; GO:0006097,isocitrate lyase (EC 4.1.3.1)
aceb,b4014,M9_glucose,metabolism,energy production and conversion,C,MALATE-SYNTHASE,0.6931471805599453,Soufi et al. 2015,BW25113,0.005502957461828446,GO:0016740; GO:0003824; GO:0005829; GO:0006099; GO:0004474; GO:0006097; GO:0005737,malate synthase (EC 2.3.3.9)
pdhr,b0113,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional dual regulator PdhR,0.6931471805599453,Soufi et al. 2015,BW25113,1.4162170939678412e-05,GO:0043565; GO:0032993; GO:0006355; GO:0003677; GO:0005829; GO:0045892; GO:0045893; GO:0003700; GO:0005737,"transcriptional regulator, GntR family"
acee,b0114,M9_glucose,metabolism,energy production and conversion,C,pyruvate dehydrogenase E1 component,0.6931471805599453,Soufi et al. 2015,BW25113,0.005173112018850688,GO:0045250; GO:0042803; GO:0030976; GO:0000287; GO:0016491; GO:0003824; GO:0042802; GO:0004738; GO:0055114; GO:0046872; GO:0006096; GO:0005515; GO:0004739,"pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding"
acef,b0115,M9_glucose,metabolism,energy production and conversion,C,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",0.6931471805599453,Soufi et al. 2015,BW25113,0.0030986279054216487,GO:0030523; GO:0016407; GO:0016746; GO:0016740; GO:0006090; GO:0006086; GO:0045254; GO:0031405; GO:0006096; GO:0005737; GO:0005515; GO:0004742,"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2"
acek,b4016,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,isocitrate dehydrogenase kinase/phosphatase,0.6931471805599453,Soufi et al. 2015,BW25113,1.2141778444498944e-05,GO:0016788; GO:0005515; GO:0070262; GO:0005829; GO:0016791; GO:0016787; GO:0016740; GO:0016310; GO:0016301; GO:0004721; GO:0000166; GO:0006006; GO:0016208; GO:0018105; GO:0004722; GO:0004674; GO:0050790; GO:0006099; GO:0005737; GO:0005524; GO:0008772; GO:0006097,isocitrate dehydrogenase kinase/phosphatase
acka,b2296,M9_glucose,metabolism,energy production and conversion,C,acetate kinase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0008918503740516316,GO:0000287; GO:0044011; GO:0006083; GO:0046872; GO:0016774; GO:0016740; GO:0016301; GO:0006082; GO:0005737; GO:0019542; GO:0019413; GO:0006085; GO:0008270; GO:0005524; GO:0000166; GO:0005829; GO:0016310; GO:0008776,acetate kinase (EC 2.7.2.1)
acna,b1276,M9_glucose,metabolism,energy production and conversion,C,aconitate hydratase 1,0.6931471805599453,Soufi et al. 2015,BW25113,0.00041024730530232355,GO:0047780; GO:0006101; GO:0003723; GO:0005829; GO:0051536; GO:0016829; GO:0003729; GO:0006097; GO:0009061; GO:0005737; GO:0003730; GO:0051539; GO:0046872; GO:0005506; GO:0003994; GO:0006979; GO:0006099,aconitase (EC 4.2.1.3)
acnb,b0118,M9_glucose,metabolism,energy production and conversion,C,AcnB,0.6931471805599453,Soufi et al. 2015,BW25113,0.001950106686422205,GO:0047780; GO:0003723; GO:0051536; GO:0016829; GO:0005829; GO:0003730; GO:0006417; GO:0003729; GO:0006097; GO:0019629; GO:0051539; GO:0046872; GO:0005515; GO:0003994; GO:0047456; GO:0006099,aconitase (EC 4.2.1.3)
azor,b1412,M9_glucose,metabolism,energy production and conversion,C,FMN dependent NADH:quinone oxidoreductase,0.6931471805599453,Soufi et al. 2015,BW25113,7.296690508150447e-05,GO:0022900; GO:0016652; GO:0009055; GO:0042803; GO:0005829; GO:0016661; GO:0016491; GO:0006979; GO:0016655; GO:0055114; GO:0050446; GO:0010181,"NADH-azoreductase, FMN-dependent"
acpp,b1094,M9_glucose,metabolism,"secondary metabolites biosynthesis, transport, and catabolism",Q,"octanoyl-ACP // ""lipoyl-ACP"" // ""cis-&Delta;5-dodecenoyl-ACP"" // ""trans-&Delta;2-cis-&Delta;5-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""cis-&Delta;3-decenoyl-ACP"" // ""3-oxo-cis-&Delta;5-dodecenoyl-ACP"" // ""(3R)-hydroxy cis &Delta;5-dodecenoyl-ACP"" // ""(3R)-3-hydroxypalmitoyl-ACP"" // ""(3R)-3-hydroxybutanoyl-ACP"" // ""trans oct-2-enoyl-ACP"" // ""trans-but-2-enoyl-ACP"" // ""(3R)-3-hydroxyoctanoyl-ACP"" // ""trans-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",0.6931471805599453,Soufi et al. 2015,BW25113,0.0010397346875202329,GO:0008289; GO:0008610; GO:0006631; GO:0006629; GO:0005829; GO:0005515; GO:0042493; GO:0031177; GO:0009245; GO:0006633; GO:0005737; GO:0000036; GO:0000035,acyl carrier protein
acps,b2563,M9_glucose,metabolism,lipid transport and metabolism,I,holo-[acyl-carrier-protein] synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0005829; GO:0006631; GO:0006629; GO:0000287; GO:0018070; GO:0046872; GO:0016740; GO:0006633; GO:0008897; GO:0005737,holo-[acyl-carrier-protein] synthase
